ID_Informe,ID_Jugador,Scout,Fecha_Partido,Fecha_Informe,Equipos_Resultados,Formación,Observaciones,Línea,Controles,Perfiles,Pase_corto,Pase_largo,Pase_filtrado,1v1_defensivo,Recuperacion,Intercepciones,Duelos_aereos,Regate,Velocidad,Duelos_ofensivos,Resiliencia,Liderazgo,Inteligencia_tactica,Inteligencia_emocional,Posicionamiento,Vision_de_juego,Movimientos_sin_pelota
1,1,Roberto Floris,13/09/2025,02/10/2025,Palestino 1 - O'higgins 2,4-2-3-1,Joaquin es un extremo con 20 partidos en primera división. En fase defensiva generalmente desciende  marcando al lateral rival. Cuando su equipo recupera el balón le gusta salir en velocidad para generar un contragolpe. En ataque busca ganar espaldas aprovechando su velocidad. Cuando encara a su marcador con balón dominado tiene un correcto 1 vs 1. fue remplazado a los 56'.,3ra (Ver más adelante),2.0,2.5,1.5,2.0,1.5,1.5,2.0,1.0,2.0,2.0,2.0,1.5,2.0,2.5,1.5,1.5,1.5,2.0,1.5
2,1,Mariano Cirone,02/10/2025,02/10/2025,chile 1 brasil 1,4-2-3-1,Terrible jugador,1ra (Fichar),1.5,1.5,3.0,1.5,1.5,1.0,3.5,1.5,1.5,2.0,1.5,1.5,1.5,2.5,1.0,2.0,2.0,2.0,1.5
