ID_Jugador,Nombre,Edad,Altura,Club,Posición,URL_Foto,URL_Perfil,Agregado_Por,Nacionalidad,Fecha_Agregado
1,Joaquín Alberto Tapia Vásquez,21,175,O'Higgins,Extremo derecho,https://cdn.resfu.com/img_data/players/medium/3422019.jpg?size=120x&lossy=1,https://es.besoccer.com/jugador/j-tapia-3422019,Roberto Floris,,
3,Tomás Belmonte,27,181,Boca Juniors,Mediocampista mixto,https://cdn.resfu.com/img_data/players/medium/359475.jpg?size=120x&lossy=1,https://es.besoccer.com/jugador/t-belmonte-359475,Joaquin Vera,Argentina,04/10/2025
